termo,peso_medio_tfidf
produto,0.06080429811408306
gostar,0.028947825868300702
chegar,0.021038569518331947
qualidade,0.02081203022439709
excelente,0.020683625102537847
bom,0.02006968643689433
entrega,0.017977040649143485
entregar,0.01787752287059543
prazo,0.01698613403622345
recebi,0.016316317010421803
vir,0.015941061113278945
dia,0.015324135196646464
recomendar,0.01506774311167436
gostar produto,0.014670298627595045
rápido,0.014207798046442453
comprei,0.012827455308212936
recomendo,0.012812127813079123
atender,0.012588701164132911
super,0.012116935224045536
compra,0.011622544676553683
funcionar,0.011419044051378845
comprar,0.011224101852605944
ótimo,0.011092397168814133
ficar,0.011033629232684118
esperar,0.010856220769727068
